UID,Title,Rank,Stream type,Episodes,Start date,End date,Members,Score
1,Sousou no Frieren,1,TV ,28.0,Sep 2023 , Mar 2024,"800,615 ",9.35
2,Fullmetal Alchemist: Brotherhood,2,TV ,64.0,Apr 2009 , Jul 2010,"3,373,923 ",9.09
3,Steins;Gate,3,TV ,24.0,Apr 2011 , Sep 2011,"2,584,616 ",9.07
4,Gintama°,4,TV ,51.0,Apr 2015 , Mar 2016,"636,631 ",9.06
5,Shingeki no Kyojin Season 3 Part 2,5,TV ,10.0,Apr 2019 , Jul 2019,"2,305,044 ",9.05
6,Gintama: The Final,6,Movie ,1.0,Jan 2021 , Jan 2021,"153,317 ",9.04
7,Gintama',7,TV ,51.0,Apr 2011 , Mar 2012,"561,485 ",9.03
8,Hunter x Hunter (2011),8,TV ,148.0,Oct 2011 , Sep 2014,"2,863,958 ",9.03
9,Ginga Eiyuu Densetsu,9,OVA ,110.0,Jan 1988 , Mar 1997,"325,595 ",9.02
10,Gintama': Enchousen,10,TV ,13.0,Oct 2012 , Mar 2013,"328,147 ",9.02
11,Bleach: Sennen Kessen-hen,11,TV ,13.0,Oct 2022 , Dec 2022,"554,516 ",9.01
12,Kaguya-sama wa Kokurasetai: Ultra Romantic,12,TV ,13.0,Apr 2022 , Jun 2022,"945,499 ",9.01
13,Gintama.,13,TV ,12.0,Jan 2017 , Mar 2017,"317,604 ",8.98
14,Fruits Basket: The Final,14,TV ,13.0,Apr 2021 , Jun 2021,"486,150 ",8.97
15,Monogatari Series: Off & Monster Season,15,ONA ,,Jul 2024 ,,"44,235 ",8.97
16,Koe no Katachi,16,Movie ,1.0,Sep 2016 , Sep 2016,"2,355,457 ",8.93
17,Clannad: After Story,17,TV ,24.0,Oct 2008 , Mar 2009,"1,202,073 ",8.93
18,Gintama,18,TV ,201.0,Apr 2006 , Mar 2010,"1,072,687 ",8.93
19,3-gatsu no Lion 2nd Season,19,TV ,22.0,Oct 2017 , Mar 2018,"405,585 ",8.92
20,Code Geass: Hangyaku no Lelouch R2,20,TV ,25.0,Apr 2008 , Sep 2008,"1,796,432 ",8.91
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,21,Movie ,1.0,Jul 2013 , Jul 2013,"242,729 ",8.90
22,Kusuriya no Hitorigoto,22,TV ,24.0,Oct 2023 , Mar 2024,"428,855 ",8.90
23,Shingeki no Kyojin: The Final Season - Kanketsu-hen,23,TV Special ,2.0,Mar 2023 , Nov 2023,"665,552 ",8.89
24,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,24,TV ,14.0,Jul 2018 , Oct 2018,"201,160 ",8.88
25,Monster,25,TV ,74.0,Apr 2004 , Sep 2005,"1,138,519 ",8.88
26,Owarimonogatari 2nd Season,26,TV Special ,7.0,Aug 2017 , Aug 2017,"402,842 ",8.87
27,Violet Evergarden Movie,27,Movie ,1.0,Sep 2020 , Sep 2020,"621,318 ",8.86
28,Kimi no Na wa.,28,Movie ,1.0,Aug 2016 , Aug 2016,"2,768,297 ",8.84
29,Boku no Kokoro no Yabai Yatsu 2nd Season,29,TV ,13.0,Jan 2024 , Mar 2024,"190,020 ",8.83
30,Jujutsu Kaisen 2nd Season,30,TV ,23.0,Jul 2023 , Dec 2023,"977,529 ",8.82
31,Kingdom 3rd Season,31,TV ,26.0,Apr 2020 , Oct 2021,"105,760 ",8.82
32,Vinland Saga Season 2,32,TV ,24.0,Jan 2023 , Jun 2023,"630,871 ",8.81
33,Gintama.: Shirogane no Tamashii-hen,33,TV ,12.0,Jan 2018 , Mar 2018,"215,075 ",8.81
34,Mob Psycho 100 II,34,TV ,13.0,Jan 2019 , Apr 2019,"1,549,194 ",8.79
35,Kizumonogatari III: Reiketsu-hen,35,Movie ,1.0,Jan 2017 , Jan 2017,"467,052 ",8.78
36,Bocchi the Rock!,36,TV ,12.0,Oct 2022 , Dec 2022,"590,200 ",8.78
37,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,37,TV ,10.0,Oct 2016 , Dec 2016,"1,216,924 ",8.78
38,Shingeki no Kyojin: The Final Season,38,TV ,16.0,Dec 2020 , Mar 2021,"2,024,038 ",8.78
39,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,39,Movie ,1.0,Dec 2022 , Dec 2022,"274,831 ",8.77
40,Sen to Chihiro no Kamikakushi,40,Movie ,1.0,Jul 2001 , Jul 2001,"1,871,461 ",8.77
41,Hajime no Ippo,41,TV ,75.0,Oct 2000 , Mar 2002,"602,478 ",8.77
42,Shingeki no Kyojin: The Final Season Part 2,42,TV ,12.0,Jan 2022 , Apr 2022,"1,315,685 ",8.76
43,Monogatari Series: Second Season,43,TV ,26.0,Jul 2013 , Dec 2013,"674,564 ",8.76
44,Cowboy Bebop,44,TV ,26.0,Apr 1998 , Apr 1999,"1,883,277 ",8.75
45,Hibike! Euphonium 3,45,TV ,13.0,Apr 2024 , Jun 2024,"65,766 ",8.75
46,The First Slam Dunk,46,Movie ,1.0,Dec 2022 , Dec 2022,"46,912 ",8.75
47,Vinland Saga,47,TV ,24.0,Jul 2019 , Dec 2019,"1,541,813 ",8.75
48,Kimetsu no Yaiba: Yuukaku-hen,48,TV ,11.0,Dec 2021 , Feb 2022,"1,460,076 ",8.74
49,Kingdom 4th Season,49,TV ,26.0,Apr 2022 , Oct 2022,"66,507 ",8.74
50,Kingdom 5th Season,50,TV ,13.0,Jan 2024 , Mar 2024,"37,169 ",8.73
51,Shiguang Dailiren,51,ONA ,11.0,Apr 2021 , Jul 2021,"375,144 ",8.73
52,Mushishi Zoku Shou 2nd Season,52,TV ,10.0,Oct 2014 , Dec 2014,"269,484 ",8.72
53,One Piece,53,TV ,,Oct 1999 ,,"2,385,470 ",8.72
54,Ashita no Joe 2,54,TV ,47.0,Oct 1980 , Aug 1981,"53,500 ",8.72
55,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,55,TV ,12.0,Jan 2017 , Mar 2017,"189,037 ",8.71
56,Mob Psycho 100 III,56,TV ,12.0,Oct 2022 , Dec 2022,"694,097 ",8.71
57,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,57,OVA ,4.0,Feb 1999 , Sep 1999,"278,343 ",8.70
58,86 Part 2,58,TV ,12.0,Oct 2021 , Mar 2022,"511,412 ",8.70
59,Code Geass: Hangyaku no Lelouch,59,TV ,25.0,Oct 2006 , Jul 2007,"2,269,727 ",8.70
60,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,60,TV ,13.0,Jul 2023 , Sep 2023,"282,180 ",8.69
61,Great Teacher Onizuka,61,TV ,43.0,Jun 1999 , Sep 2000,"837,220 ",8.69
62,Mo Dao Zu Shi: Wanjie Pian,62,ONA ,12.0,Aug 2021 , Oct 2021,"81,708 ",8.69
63,Mushishi Zoku Shou,63,TV ,10.0,Apr 2014 , Jun 2014,"303,060 ",8.69
64,Tian Guan Cifu Er,64,ONA ,12.0,Oct 2023 , Jan 2024,"46,013 ",8.68
65,Violet Evergarden,65,TV ,13.0,Jan 2018 , Apr 2018,"1,801,213 ",8.68
66,Haikyuu!! Movie: Gomisuteba no Kessen,66,Movie ,1.0,Feb 2024 , Feb 2024,"127,306 ",8.67
67,Hajime no Ippo: New Challenger,67,TV ,26.0,Jan 2009 , Jul 2009,"290,472 ",8.67
68,Fate/stay night Movie: Heaven's Feel - III. Spring Song,68,Movie ,1.0,Aug 2020 , Aug 2020,"356,259 ",8.66
69,Howl no Ugoku Shiro,69,Movie ,1.0,Nov 2004 , Nov 2004,"1,353,704 ",8.66
70,Mononoke Hime,70,Movie ,1.0,Jul 1997 , Jul 1997,"1,268,189 ",8.66
71,Mushishi,71,TV ,26.0,Oct 2005 , Jun 2006,"837,459 ",8.66
72,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,72,TV ,12.0,Oct 2021 , Dec 2021,"942,173 ",8.66
73,Odd Taxi,73,TV ,13.0,Apr 2021 , Jun 2021,"439,694 ",8.66
74,Made in Abyss,74,TV ,13.0,Jul 2017 , Sep 2017,"1,396,229 ",8.64
75,Natsume Yuujinchou Shi,75,TV ,13.0,Jan 2012 , Mar 2012,"247,346 ",8.64
76,Shigatsu wa Kimi no Uso,76,TV ,22.0,Oct 2014 , Mar 2015,"2,231,890 ",8.64
77,"""Oshi no Ko""",77,TV ,11.0,Apr 2023 , Jun 2023,"813,817 ",8.64
78,Bungou Stray Dogs 5th Season,78,TV ,11.0,Jul 2023 , Sep 2023,"188,701 ",8.64
79,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,79,TV ,12.0,Apr 2020 , Jun 2020,"1,356,331 ",8.63
80,Made in Abyss: Retsujitsu no Ougonkyou,80,TV ,12.0,Jul 2022 , Sep 2022,"453,235 ",8.63
81,Shiguang Dailiren II,81,ONA ,12.0,Jul 2023 , Sep 2023,"114,512 ",8.63
82,Tengen Toppa Gurren Lagann,82,TV ,27.0,Apr 2007 , Sep 2007,"1,624,106 ",8.63
83,Shingeki no Kyojin Season 3,83,TV ,12.0,Jul 2018 , Oct 2018,"2,393,116 ",8.62
